Episode,Dataset,Qty fog nodes,Strategy,Random seed,P1,P2,P3,P4,P5,Simulation time,Avg task time,Total energy,Gateway idle energy,Gateway busy energy,Gateway total energy,Avg Gateway Busy Time,Avg Reward
90,1k,16,TP_DRL,3,234,72,9,0,0,2549.393374595401,21.92121972168607,1236723.4108238337,184001.438492646,61341.84883866105,245343.28733130704,0.5535576953651207,0.0591805981965706
91,1k,16,TP_DRL,3,241,79,9,0,0,2549.31732492784,21.414555618895704,1218175.6005734564,183904.0595537877,61515.85166361368,245419.9112174014,0.561365794242553,0.0532652178826823
92,1k,16,TP_DRL,3,267,72,9,0,0,2549.324592637537,21.033357545262795,1193729.8562034627,184133.7121174285,61259.24023557151,245392.95235300003,0.5532041554759384,0.0495825898931686
93,1k,16,TP_DRL,3,253,79,6,0,0,2549.3323142409004,20.69468914306699,1201396.407967763,183327.88678786656,62120.63566869781,245448.5224565644,0.5672644657080861,0.0528826439625238
94,1k,16,TP_DRL,3,248,92,10,0,0,2549.280139305637,22.091508682390614,1201190.8670838124,184198.6470367012,61158.24170807671,245356.8887447779,0.5514613668309246,0.0386892523795997
95,1k,16,TP_DRL,3,255,84,6,0,0,2549.325578584613,21.028605745697732,1198800.497251161,184004.7308732716,61339.55955092276,245344.2904241943,0.5646683782245467,0.0477545417581838
96,1k,16,TP_DRL,3,257,79,12,0,0,2549.314694701585,20.782945475392623,1192223.0586039114,183567.613594088,61857.75208530281,245425.3656793908,0.5730245598890336,0.0443041003833512
97,1k,16,TP_DRL,3,237,85,10,0,0,2549.317411626724,20.58661319076584,1207661.965275609,184297.87656056992,61079.191939895,245377.0685004649,0.5546898908253712,0.049547628613043
98,1k,16,TP_DRL,3,266,78,12,0,0,2597.78076028464,21.59871472197208,1199169.434823724,188173.9700637673,61795.42135287256,249969.39141663988,0.5757037834230696,0.041060012911268
99,1k,16,TP_DRL,3,237,85,9,0,0,2549.336306585381,20.717343547219944,1211118.1083736443,184224.01782001567,61131.7924679786,245355.8102879944,0.5746123421572304,0.050631884394858
